"location","trigger","current copy","user-harm rank","proposed copy","implementation status","verification result"
"src/jacobian/cli.py:JacobianGroup.invoke","Any application exception escapes a CLI command","No application error boundary; Typer prints a Python traceback and exits 1","P0","Emit a stable JSON error object on stderr with code, plain-language message, recovery hint, and a meaningful exit status; never include the exception text","implemented","verified: tests/integration/test_cli.py missing-file, unreadable-path, wrong-JSON-shape, and invalid-JSON states; real uv run jacobian commands returned JSON only with exit statuses 1 and 2"
"src/jacobian/plugin_execution.py:PluginExecutor.run (worker failure)","An operator-installed plugin raises or stops before returning a result","The worker's arbitrary exception detail is copied into PluginExecutionResult.detail and then into agent-visible results","P0","The plugin stopped before returning a result. Retry once; if it happens again, inspect the local plugin log.","implemented","verified: tests/integration/test_plugin_execution.py::test_plugin_executor_does_not_expose_untrusted_exception_text"
"src/jacobian/verification.py:VerificationService._run_checker (worker failure)","An authorized checker raises or stops before returning a decision","The worker's arbitrary exception detail is copied into ResultEnvelope.execution.detail","P0","The checker stopped before returning a decision. Retry once; if it happens again, inspect the local checker log.","implemented","verified: tests/integration/test_witness_verification.py::test_checker_failure_does_not_expose_internal_exception_text exercised a real checker subprocess"
"src/jacobian/adapters/mcp/server.py:JacobianMCPServer.call_tool","An MCP tool raises a protocol-level MCPError such as an elicitation requirement","The catch-all public-error boundary converts the protocol error into a generic tool failure","P0","Re-raise MCP protocol errors unchanged; sanitize only ordinary tool-execution failures.","implemented","verified: direct registered-tool protocol error in tests/integration/test_mcp_adapter.py::test_mcp_protocol_errors_are_not_converted_to_tool_errors"
"src/jacobian/plugin_execution.py:PluginExecutor.run (timeout)","Plugin exceeds its wall-time budget","plugin execution timed out","P1","The plugin did not finish within the allowed time. Retry with a larger time budget or a smaller request.","implemented","verified: tests/integration/test_plugin_execution.py::test_plugin_timeout_has_no_mathematical_output exercised the real timeout state"
"src/jacobian/plugin_execution.py:PluginExecutor.run (stdout limit)","Plugin returns more bytes than the configured output limit","plugin output exceeds the configured limit","P1","The plugin returned too much data. Retry with a smaller request.","implemented","verified: tests/integration/test_search_orchestration.py::test_search_plugin_failures_remain_operational exercised the output-limit state"
"src/jacobian/plugin_execution.py:PluginExecutor.run (diagnostic limit)","Plugin writes more diagnostic bytes than allowed","plugin diagnostics exceed the configured limit","P1","The plugin produced too many diagnostics. Retry with a smaller request and inspect the local plugin log if the limit is reached again.","implemented","verified: tests/integration/test_plugin_execution.py::test_plugin_diagnostic_limit_fails_closed"
"src/jacobian/plugin_execution.py:PluginExecutor.run (unreadable response)","Plugin output is invalid JSON or not a JSON object","plugin returned invalid JSON / plugin response must be a JSON object","P1","The plugin returned an unreadable response. Retry once; if it happens again, inspect the local plugin log.","implemented","partially verified: tests/integration/test_plugin_execution.py::test_plugin_unreadable_response_explains_recovery exercised invalid JSON from a real worker exit; the defensive non-object response branch remains unforced"
"src/jacobian/plugin_execution.py:PluginExecutor.run (implementation change)","Plugin source digest changes after registration or during execution","plugin source differs from its resolved digest / plugin worker did not execute the resolved implementation","P1","The plugin changed after it was registered. Reload Jacobian to register the current plugin version, then retry.","implemented","verified: tests/integration/test_plugin_execution.py::test_plugin_executor_rejects_changed_implementation_digest"
"src/jacobian/plugin_worker.py and src/jacobian/checker_worker.py:source-change protocol","Worker detects that plugin or checker source changed","Coordinator recognizes a trust-boundary source change by matching raw detail strings","P1","Return a typed SOURCE_CHANGED code from the worker and classify on that code; keep raw detail local.","implemented","verified: real plugin and checker subprocess protocol states in tests/integration/test_worker_error_protocol.py"
